,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ANKRA2,646.617831,0.23252505,0.124151832,1.872908724,0.06108099,0.181841287
LMBRD2,1012.593852,0.004029987,0.113012657,0.03565961,0.971553777,0.988408766
GFM2,692.5292489,-0.105689049,0.120284816,-0.878656614,0.37958749,0.625346052
NDUFAF2,2104.66207,-0.023787789,0.100332661,-0.237089187,0.812587601,0.920749839
ZNF474,0.669916769,-0.784554917,3.017842828,-0.259972093,0.7948853,NA
FAM98B,564.6812521,0.181685612,0.127178138,1.428591548,0.153121665,0.351716879
RANBP3L,47.88172481,-0.126126043,0.399288779,-0.315876753,0.752096058,0.889508251
CALHM4,0.816484807,-2.118309149,2.987766401,-0.708994234,0.478328055,NA
CREBRF,1623.301686,0.305457524,0.100677937,3.034006576,0.002413292,0.012952914
DCBLD1,364.7017849,-0.886153448,0.151077051,-5.865572858,4.48E-09,6.56E-08
DLC1,23474.55856,-0.60777798,0.083377689,-7.289455781,3.11E-13,6.65E-12
PEX2,1120.462476,0.138688458,0.106421451,1.303200217,0.192506416,0.409421053
RAD21,1564.4578,0.102506115,0.102792397,0.997214947,0.318660187,0.563156509
SLC30A8,16.9485393,-0.926300057,0.59428173,-1.55868843,0.119070141,0.294781936
