,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CATSPERZ,15.46644231,-1.911145559,0.661111827,-2.890805278,0.003842561,0.031962199
RPL23P8,0.193827817,-0.686987405,4.069415954,-0.1688172,0.865940429,NA
AL133270.1,0,NA,NA,NA,NA,NA
RPSAP42,0,NA,NA,NA,NA,NA
AL355802.1,0,NA,NA,NA,NA,NA
TPT1P8,0,NA,NA,NA,NA,NA
AC116655.1,0,NA,NA,NA,NA,NA
AL391417.1,0,NA,NA,NA,NA,NA
AP000580.1,0,NA,NA,NA,NA,NA
AL512430.3,0,NA,NA,NA,NA,NA
AL035467.1,0,NA,NA,NA,NA,NA
HNRNPA1P58,0,NA,NA,NA,NA,NA
NCSTNP1,0,NA,NA,NA,NA,NA
AL590143.1,0,NA,NA,NA,NA,NA
PPP1R3G,7.430140239,0.063165461,0.874687854,0.07221486,0.942430919,NA
ARF1P1,0,NA,NA,NA,NA,NA
RPL23AP47,0,NA,NA,NA,NA,NA
AL590635.1,0,NA,NA,NA,NA,NA
BRK1P1,0,NA,NA,NA,NA,NA
AL157777.2,0,NA,NA,NA,NA,NA
ZNF402P,0,NA,NA,NA,NA,NA
ACTBP8,0,NA,NA,NA,NA,NA
HNRNPH1P1,0,NA,NA,NA,NA,NA
RPL35AP18,0,NA,NA,NA,NA,NA
AL603865.2,0,NA,NA,NA,NA,NA
PPIAP74,0,NA,NA,NA,NA,NA
H3P28,0,NA,NA,NA,NA,NA
Z85996.1,0,NA,NA,NA,NA,NA
FCF1P5,0,NA,NA,NA,NA,NA
TUBB3P1,0,NA,NA,NA,NA,NA
AL121978.1,0.208743839,1.100467557,4.070923286,0.270323826,0.786911137,NA
AL139098.1,0,NA,NA,NA,NA,NA
AL139095.2,0.193827817,-0.686987405,4.069415954,-0.1688172,0.865940429,NA
SLC25A51P1,0,NA,NA,NA,NA,NA
OR4F1P,0,NA,NA,NA,NA,NA
BTBD10P2,0,NA,NA,NA,NA,NA
AL035079.1,0,NA,NA,NA,NA,NA
AL355796.1,0,NA,NA,NA,NA,NA
RPL35P3,0,NA,NA,NA,NA,NA
AL161787.1,0,NA,NA,NA,NA,NA
GAPDHP67,0,NA,NA,NA,NA,NA
RPL12P8,0,NA,NA,NA,NA,NA
SPTLC1P3,0,NA,NA,NA,NA,NA
AL138878.1,0,NA,NA,NA,NA,NA
AL356131.1,0,NA,NA,NA,NA,NA
RPL7P27,0,NA,NA,NA,NA,NA
AL034345.1,0,NA,NA,NA,NA,NA
LAP3P1,0,NA,NA,NA,NA,NA
AL080315.1,0,NA,NA,NA,NA,NA
MTCYBP4,0,NA,NA,NA,NA,NA
AL121835.1,0,NA,NA,NA,NA,NA
AC236430.1,0,NA,NA,NA,NA,NA
AL022722.2,0,NA,NA,NA,NA,NA
LINC02076,5.806249736,-0.701491927,1.009226976,-0.695078454,0.487006136,NA
AL590704.1,0,NA,NA,NA,NA,NA
HSPA8P15,0,NA,NA,NA,NA,NA
AC019129.1,0,NA,NA,NA,NA,NA
AC064847.1,0,NA,NA,NA,NA,NA
H2AC10P,0,NA,NA,NA,NA,NA
B3GALNT2P1,0,NA,NA,NA,NA,NA
KRT18P44,0,NA,NA,NA,NA,NA
AL117342.1,0,NA,NA,NA,NA,NA
AL035633.1,0,NA,NA,NA,NA,NA
RPL18AP8,0,NA,NA,NA,NA,NA
FAM8A6P,0,NA,NA,NA,NA,NA
MTATP6P31,0,NA,NA,NA,NA,NA
HSPD1P16,0,NA,NA,NA,NA,NA
AL049697.3,0,NA,NA,NA,NA,NA
AL133264.1,0,NA,NA,NA,NA,NA
AL391903.1,0,NA,NA,NA,NA,NA
AL354719.1,0,NA,NA,NA,NA,NA
PAPOLB,0,NA,NA,NA,NA,NA
BRD7P4,0,NA,NA,NA,NA,NA
AL606923.1,0,NA,NA,NA,NA,NA
RPL5P20,0,NA,NA,NA,NA,NA
AL035696.2,0,NA,NA,NA,NA,NA
RAET1K,0,NA,NA,NA,NA,NA
SUMO2P13,0,NA,NA,NA,NA,NA
SLC25A20P1,0,NA,NA,NA,NA,NA
AC012078.1,0,NA,NA,NA,NA,NA
NDUFS5P1,0,NA,NA,NA,NA,NA
NIP7P3,0,NA,NA,NA,NA,NA
HNRNPA1P19,0,NA,NA,NA,NA,NA
AL591416.1,0,NA,NA,NA,NA,NA
AL356277.1,0,NA,NA,NA,NA,NA
FCF1P10,0,NA,NA,NA,NA,NA
H2AZP3,0.596399472,-0.060812831,3.603969666,-0.016873847,0.986537257,NA
SPTLC1P2,0,NA,NA,NA,NA,NA
AL450346.2,0,NA,NA,NA,NA,NA
OR4K12P,0,NA,NA,NA,NA,NA
AL592429.1,0,NA,NA,NA,NA,NA
AL121949.3,0,NA,NA,NA,NA,NA
YAP1P1,0,NA,NA,NA,NA,NA
FAM138C,0,NA,NA,NA,NA,NA
CNN3P1,0,NA,NA,NA,NA,NA
AL603914.1,0,NA,NA,NA,NA,NA
AC011298.1,0,NA,NA,NA,NA,NA
AL353133.2,0,NA,NA,NA,NA,NA
RPS6P7,0,NA,NA,NA,NA,NA
NPM1P38,0,NA,NA,NA,NA,NA
OR2E1P,0,NA,NA,NA,NA,NA
AL035555.2,0,NA,NA,NA,NA,NA
VN1R8P,0,NA,NA,NA,NA,NA
AL592291.1,0,NA,NA,NA,NA,NA
MRPL42P3,0,NA,NA,NA,NA,NA
AL355497.1,0.119120156,-0.692228862,4.070290804,-0.17006865,0.864956148,NA
AL451046.1,0,NA,NA,NA,NA,NA
AL034372.1,0,NA,NA,NA,NA,NA
ZNF299P,0,NA,NA,NA,NA,NA
AL139095.1,0,NA,NA,NA,NA,NA
PPIAP87,0,NA,NA,NA,NA,NA
AL137222.1,0,NA,NA,NA,NA,NA
RPS4XP8,0,NA,NA,NA,NA,NA
RPL23AP48,0,NA,NA,NA,NA,NA
SLC25A6P6,0,NA,NA,NA,NA,NA
NUFIP1P1,0.193827817,-0.686987405,4.069415954,-0.1688172,0.865940429,NA
SUMO2P12,0,NA,NA,NA,NA,NA
FTH1P15,0,NA,NA,NA,NA,NA
AL136087.1,0,NA,NA,NA,NA,NA
CCNG1P1,0,NA,NA,NA,NA,NA
ARL4AP5,0,NA,NA,NA,NA,NA
RPS3AP2,0.193827817,-0.686987405,4.069415954,-0.1688172,0.865940429,NA
AC005102.1,0,NA,NA,NA,NA,NA
